Name;second_name;first_uri;Second_uri
NX CAM;;https://dbpedia.org/page/Computer-aided_manufacturing;
Asix;;;
Paratox;;https://dbpedia.org/page/Regulatory_compliance;
Fire alarm system software;;https://dbpedia.org/page/Fire_alarm_system;
IMC Studio;;https://dbpedia.org/page/Measurement;
Catman;;https://dbpedia.org/page/Measurement;
Logging Software Bruel&Kjaer;;https://dbpedia.org/page/Measurement;
Cloos RoboPlan professional;;https://dbpedia.org/page/Industrial_robot;
Kardex;;https://dbpedia.org/page/Kardex_Group;
ecoRegS;;;
OTRS for planning department (PLO);;https://dbpedia.org/page/OTRS;https://dbpedia.org/page/Service_management
Zoller Tool Management solutions;;https://dbpedia.org/page/Tool_management;
Topflow Machine data collection (MDC);;https://dbpedia.org/page/Data_collection_system;
iAuditor;;;
Atlas Copco Work Vision;;https://dbpedia.org/page/Atlas_Copco;
ATLAS Customs declaration programme;;https://dbpedia.org/page/Export#Barriers;
IPO.Log;;https://dbpedia.org/page/Automated_planning_and_scheduling;https://dbpedia.org/page/Computer_simulation
Openmind Hypermill CAM;;https://dbpedia.org/page/Computer-aided_manufacturing;
Hexagon Polyworks;;https://dbpedia.org/page/Hexagon_AB;https://dbpedia.org/page/Point_cloud
Fiori-App for Barcode scanning;;https://dbpedia.org/page/SAP_S/4HANA;
Mastercam CAM;;https://dbpedia.org/page/Computer-aided_manufacturing;
VERICUT Manufacturing software;;https://dbpedia.org/page/Vericut;
Per Angusta Procurement Management;;https://dbpedia.org/page/Supply_chain_management#Digitalisierung;
Hilti ON!Track Asset Management;;https://dbpedia.org/page/Field_inventory_management;
Modula WMS;;https://dbpedia.org/page/Warehouse_management_system;
AlmaCam Cut;;;
Minitab;;https://dbpedia.org/page/Minitab;
ELAM Software;;https://dbpedia.org/page/Process_control;
Trumpf TruTops;;https://dbpedia.org/page/Computer-aided_design;
Fiori Dashboard for Logistics;;https://dbpedia.org/page/SAP_S/4HANA;https://dbpedia.org/page/Logistics
Manufacturing Execution System Prinoth;;https://dbpedia.org/page/Manufacturing_execution_system;
Comara sysCut;;https://dbpedia.org/page/Process_development_execution_system;
Teamcenter & T4S;;https://dbpedia.org/page/Product_life-cycle_management_(marketing);
Across;;https://dbpedia.org/page/Across_Language_Server;
IAO;;;
WINSIF;;;
Cortona 3D;;;
NX;;https://dbpedia.org/page/Computer-aided_design;
Catia;;https://dbpedia.org/page/Computer-aided_design;
